Product ID,lead_time_k,exact_pct,rmse,n
P0001,2,85.0131926121372,225.95259735904378,3800
P0002,2,63.773087071240106,195.65922869388777,3800
P0003,1,77.15415019762845,239.75015541683783,3800
P0004,3,68.37516512549537,96.197353286836,3800
P0005,1,69.59156785243742,276.17372852381476,3800
P0006,1,73.57048748353097,230.09364021514628,3800
P0007,4,79.97354497354497,156.6576981559936,3800
P0008,1,87.35177865612648,94.77330972987147,3800
P0009,1,70.77733860342555,215.24023836356363,3800
P0010,1,79.05138339920948,243.08598488483622,3800
P0011,2,78.97097625329815,246.55261899115658,3800
P0012,2,68.62796833773088,175.38611155575882,3800
P0013,3,76.90885072655217,177.8786778741964,3800
P0014,3,80.95112285336856,151.2031387497214,3800
P0015,1,66.3768115942029,266.5963329513049,3800
P0016,2,75.27704485488127,206.9549037591852,3800
P0017,1,86.11330698287219,151.56982328517205,3800
P0018,1,94.01844532279316,100.85951303780908,3800
P0019,1,81.29117259552042,164.31239246885968,3800
P0020,1,67.53623188405797,213.45559223190304,3800
